,v1,v2,v3,v4,v5,word_length,nltk_tokens,spaCy_tokens,nltk_lemmatization,spaCy_lemmatization
640,ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",,,,88,"['Well', 'imma', 'definitely', 'need', 'to', 'restock', 'before', 'thanksgiving', ',', 'I', ""'ll"", 'let', 'you', 'know', 'when', 'I', ""'m"", 'out']","['Well', 'imma', 'definitely', 'need', 'to', 'restock', 'before', 'thanksgiving', ',', 'I', ""'ll"", 'let', 'you', 'know', 'when', 'I', ""'m"", 'out']","['Well', 'imma', 'definitely', 'need', 'to', 'restock', 'before', 'thanksgiving', ',', 'I', ""'ll"", 'let', 'you', 'know', 'when', 'I', ""'m"", 'out']","['well', 'imma', 'definitely', 'need', 'to', 'restock', 'before', 'thanksgiving', ',', 'I', 'will', 'let', 'you', 'know', 'when', 'I', 'be', 'out']"
641,ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",,,,133,"['said', 'kiss', ',', 'kiss', ',', 'i', 'ca', ""n't"", 'do', 'the', 'sound', 'effects', '!', 'He', 'is', 'a', 'gorgeous', 'man', 'is', ""n't"", 'he', '!', 'Kind', 'of', 'person', 'who', 'needs', 'a', 'smile', 'to', 'brighten', 'his', 'day', '!']","[' ', 'said', 'kiss', ',', 'kiss', ',', 'i', 'ca', ""n't"", 'do', 'the', 'sound', 'effects', '!', 'He', 'is', 'a', 'gorgeous', 'man', 'is', ""n't"", 'he', '!', 'Kind', 'of', 'person', 'who', 'needs', 'a', 'smile', 'to', 'brighten', 'his', 'day', '!']","['said', 'kiss', ',', 'kiss', ',', 'i', 'ca', ""n't"", 'do', 'the', 'sound', 'effect', '!', 'He', 'is', 'a', 'gorgeous', 'man', 'is', ""n't"", 'he', '!', 'Kind', 'of', 'person', 'who', 'need', 'a', 'smile', 'to', 'brighten', 'his', 'day', '!']","[' ', 'say', 'kiss', ',', 'kiss', ',', 'I', 'can', 'not', 'do', 'the', 'sound', 'effect', '!', 'he', 'be', 'a', 'gorgeous', 'man', 'be', 'not', 'he', '!', 'kind', 'of', 'person', 'who', 'need', 'a', 'smile', 'to', 'brighten', 'his', 'day', '!']"
642,ham,Probably gonna swing by in a wee bit,,,,36,"['Probably', 'gon', 'na', 'swing', 'by', 'in', 'a', 'wee', 'bit']","['Probably', 'gon', 'na', 'swing', 'by', 'in', 'a', 'wee', 'bit']","['Probably', 'gon', 'na', 'swing', 'by', 'in', 'a', 'wee', 'bit']","['probably', 'go', 'to', 'swing', 'by', 'in', 'a', 'wee', 'bit']"
643,ham,Ya very nice. . .be ready on thursday,,,,37,"['Ya', 'very', 'nice', '.', '.', '.be', 'ready', 'on', 'thursday']","['Ya', 'very', 'nice', '.', '.', '.be', 'ready', 'on', 'thursday']","['Ya', 'very', 'nice', '.', '.', '.be', 'ready', 'on', 'thursday']","['ya', 'very', 'nice', '.', '.', '.be', 'ready', 'on', 'thursday']"
644,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,,,,127,"['Allo', '!', 'We', 'have', 'braved', 'the', 'buses', 'and', 'taken', 'on', 'the', 'trains', 'and', 'triumphed', '.', 'I', 'mean', 'we\x89Û÷re', 'in', 'b\x89Û÷ham', '.', 'Have', 'a', 'jolly', 'good', 'rest', 'of', 'week']","['Allo', '!', 'We', 'have', 'braved', 'the', 'buses', 'and', 'taken', 'on', 'the', 'trains', 'and', 'triumphed', '.', 'I', 'mean', 'we\x89Û÷re', 'in', 'b\x89Û÷ham', '.', 'Have', 'a', 'jolly', 'good', 'rest', 'of', 'week']","['Allo', '!', 'We', 'have', 'braved', 'the', 'bus', 'and', 'taken', 'on', 'the', 'train', 'and', 'triumphed', '.', 'I', 'mean', 'we\x89Û÷re', 'in', 'b\x89Û÷ham', '.', 'Have', 'a', 'jolly', 'good', 'rest', 'of', 'week']","['allo', '!', 'we', 'have', 'brave', 'the', 'bus', 'and', 'take', 'on', 'the', 'train', 'and', 'triumph', '.', 'I', 'mean', 'we\x89Û÷re', 'in', 'b\x89Û÷ham', '.', 'have', 'a', 'jolly', 'good', 'rest', 'of', 'week']"
645,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,,92,"['Watching', 'cartoon', ',', 'listening', 'music', '&', 'amp', ';', 'at', 'eve', 'had', 'to', 'go', 'temple', '&', 'amp', ';', 'church', '..', 'What', 'about', 'u', '?']","['Watching', 'cartoon', ',', 'listening', 'music', '&', 'amp', ';', 'at', 'eve', 'had', 'to', 'go', 'temple', '&', 'amp', ';', 'church', '..', 'What', 'about', 'u', '?']","['Watching', 'cartoon', ',', 'listening', 'music', '&', 'amp', ';', 'at', 'eve', 'had', 'to', 'go', 'temple', '&', 'amp', ';', 'church', '..', 'What', 'about', 'u', '?']","['watch', 'cartoon', ',', 'listen', 'music', '&', 'amp', ';', 'at', 'eve', 'have', 'to', 'go', 'temple', '&', 'amp', ';', 'church', '..', 'what', 'about', 'u', '?']"
646,ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,,,,80,"['Do', 'you', 'mind', 'if', 'I', 'ask', 'what', 'happened', '?', 'You', 'dont', 'have', 'to', 'say', 'if', 'it', 'is', 'uncomfortable', '.']","['Do', 'you', 'mind', 'if', 'I', 'ask', 'what', 'happened', '?', 'You', 'do', 'nt', 'have', 'to', 'say', 'if', 'it', 'is', 'uncomfortable', '.']","['Do', 'you', 'mind', 'if', 'I', 'ask', 'what', 'happened', '?', 'You', 'dont', 'have', 'to', 'say', 'if', 'it', 'is', 'uncomfortable', '.']","['do', 'you', 'mind', 'if', 'I', 'ask', 'what', 'happen', '?', 'you', 'do', 'not', 'have', 'to', 'say', 'if', 'it', 'be', 'uncomfortable', '.']"
647,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,,,,136,"['PRIVATE', '!', 'Your', '2003', 'Account', 'Statement', 'for', 'shows', '800', 'un-redeemed', 'S.', 'I.', 'M.', 'points', '.', 'Call', '08715203694', 'Identifier', 'Code', ':', '40533', 'Expires', '31/10/04']","['PRIVATE', '!', 'Your', '2003', 'Account', 'Statement', 'for', 'shows', '800', 'un', '-', 'redeemed', 'S.', 'I.', 'M.', 'points', '.', 'Call', '08715203694', 'Identifier', 'Code', ':', '40533', 'Expires', '31/10/04']","['PRIVATE', '!', 'Your', '2003', 'Account', 'Statement', 'for', 'show', '800', 'un-redeemed', 'S.', 'I.', 'M.', 'point', '.', 'Call', '08715203694', 'Identifier', 'Code', ':', '40533', 'Expires', '31/10/04']","['private', '!', 'your', '2003', 'Account', 'Statement', 'for', 'show', '800', 'un', '-', 'redeem', 'S.', 'I.', 'M.', 'point', '.', 'call', '08715203694', 'Identifier', 'Code', ':', '40533', 'expire', '31/10/04']"
648,ham,No prob. I will send to your email.,,,,35,"['No', 'prob', '.', 'I', 'will', 'send', 'to', 'your', 'email', '.']","['No', 'prob', '.', 'I', 'will', 'send', 'to', 'your', 'email', '.']","['No', 'prob', '.', 'I', 'will', 'send', 'to', 'your', 'email', '.']","['no', 'prob', '.', 'I', 'will', 'send', 'to', 'your', 'email', '.']"
649,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",,,,97,"['You', 'have', 'won', '?', '1,000', 'cash', 'or', 'a', '?', '2,000', 'prize', '!', 'To', 'claim', ',', 'call09050000327', '.', 'T', '&', 'C', ':', 'RSTM', ',', 'SW7', '3SS', '.', '150ppm']","['You', 'have', 'won', '?', '1,000', 'cash', 'or', 'a', '?', '2,000', 'prize', '!', 'To', 'claim', ',', 'call09050000327', '.', 'T&C', ':', 'RSTM', ',', 'SW7', '3SS', '.', '150ppm']","['You', 'have', 'won', '?', '1,000', 'cash', 'or', 'a', '?', '2,000', 'prize', '!', 'To', 'claim', ',', 'call09050000327', '.', 'T', '&', 'C', ':', 'RSTM', ',', 'SW7', '3SS', '.', '150ppm']","['you', 'have', 'win', '?', '1,000', 'cash', 'or', 'a', '?', '2,000', 'prize', '!', 'to', 'claim', ',', 'call09050000327', '.', 'T&C', ':', 'RSTM', ',', 'SW7', '3SS', '.', '150ppm']"
650,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),,,,66,"['Thats', 'cool', '!', 'Sometimes', 'slow', 'and', 'gentle', '.', 'Sonetimes', 'rough', 'and', 'hard', ':', ')']","['That', 's', 'cool', '!', 'Sometimes', 'slow', 'and', 'gentle', '.', 'Sonetimes', 'rough', 'and', 'hard', ':)']","['Thats', 'cool', '!', 'Sometimes', 'slow', 'and', 'gentle', '.', 'Sonetimes', 'rough', 'and', 'hard', ':', ')']","['that', 's', 'cool', '!', 'sometimes', 'slow', 'and', 'gentle', '.', 'sonetime', 'rough', 'and', 'hard', ':)']"
651,ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,,,,119,"['I', ""'m"", 'gon', 'na', 'say', 'no', '.', 'Sorry', '.', 'I', 'would', 'but', 'as', 'normal', 'am', 'starting', 'to', 'panic', 'about', 'time', '.', 'Sorry', 'again', '!', 'Are', 'you', 'seeing', 'on', 'Tuesday', '?']","['I', ""'m"", 'gon', 'na', 'say', 'no', '.', 'Sorry', '.', 'I', 'would', 'but', 'as', 'normal', 'am', 'starting', 'to', 'panic', 'about', 'time', '.', 'Sorry', 'again', '!', 'Are', 'you', 'seeing', 'on', 'Tuesday', '?']","['I', ""'m"", 'gon', 'na', 'say', 'no', '.', 'Sorry', '.', 'I', 'would', 'but', 'a', 'normal', 'am', 'starting', 'to', 'panic', 'about', 'time', '.', 'Sorry', 'again', '!', 'Are', 'you', 'seeing', 'on', 'Tuesday', '?']","['I', 'be', 'go', 'to', 'say', 'no', '.', 'sorry', '.', 'I', 'would', 'but', 'as', 'normal', 'be', 'start', 'to', 'panic', 'about', 'time', '.', 'sorry', 'again', '!', 'be', 'you', 'see', 'on', 'Tuesday', '?']"
652,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!",,,,65,"['Wait', ',', 'do', 'you', 'know', 'if', 'wesleys', 'in', 'town', '?', 'I', 'bet', 'she', 'does', 'hella', 'drugs', '!']","['Wait', ',', 'do', 'you', 'know', 'if', 'wesleys', 'in', 'town', '?', 'I', 'bet', 'she', 'does', 'hella', 'drugs', '!']","['Wait', ',', 'do', 'you', 'know', 'if', 'wesley', 'in', 'town', '?', 'I', 'bet', 'she', 'doe', 'hella', 'drug', '!']","['wait', ',', 'do', 'you', 'know', 'if', 'wesley', 'in', 'town', '?', 'I', 'bet', 'she', 'do', 'hella', 'drug', '!']"
653,ham,Fine i miss you very much.,,,,26,"['Fine', 'i', 'miss', 'you', 'very', 'much', '.']","['Fine', 'i', 'miss', 'you', 'very', 'much', '.']","['Fine', 'i', 'miss', 'you', 'very', 'much', '.']","['fine', 'I', 'miss', 'you', 'very', 'much', '.']"
654,ham,Did u got that persons story,,,,28,"['Did', 'u', 'got', 'that', 'persons', 'story']","['Did', 'u', 'got', 'that', 'persons', 'story']","['Did', 'u', 'got', 'that', 'person', 'story']","['do', 'u', 'get', 'that', 'person', 'story']"
655,ham,Tell them the drug dealer's getting impatient,,,,45,"['Tell', 'them', 'the', 'drug', 'dealer', ""'s"", 'getting', 'impatient']","['Tell', 'them', 'the', 'drug', 'dealer', ""'s"", 'getting', 'impatient']","['Tell', 'them', 'the', 'drug', 'dealer', ""'s"", 'getting', 'impatient']","['tell', 'they', 'the', 'drug', 'dealer', ""'s"", 'get', 'impatient']"
656,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",,,,157,"['Sun', 'cant', 'come', 'to', 'earth', 'but', 'send', 'luv', 'as', 'rays', '.', 'cloud', 'cant', 'come', 'to', 'river', 'but', 'send', 'luv', 'as', 'rain', '.', 'I', 'cant', 'come', 'to', 'meet', 'U', ',', 'but', 'can', 'send', 'my', 'care', 'as', 'msg', 'to', 'U.', 'Gud', 'evng']","['Sun', 'ca', 'nt', 'come', 'to', 'earth', 'but', 'send', 'luv', 'as', 'rays', '.', 'cloud', 'ca', 'nt', 'come', 'to', 'river', 'but', 'send', 'luv', 'as', 'rain', '.', 'I', 'ca', 'nt', 'come', 'to', 'meet', 'U', ',', 'but', 'can', 'send', 'my', 'care', 'as', 'msg', 'to', 'U.', 'Gud', 'evng']","['Sun', 'cant', 'come', 'to', 'earth', 'but', 'send', 'luv', 'a', 'ray', '.', 'cloud', 'cant', 'come', 'to', 'river', 'but', 'send', 'luv', 'a', 'rain', '.', 'I', 'cant', 'come', 'to', 'meet', 'U', ',', 'but', 'can', 'send', 'my', 'care', 'a', 'msg', 'to', 'U.', 'Gud', 'evng']","['Sun', 'can', 'not', 'come', 'to', 'earth', 'but', 'send', 'luv', 'as', 'ray', '.', 'cloud', 'can', 'not', 'come', 'to', 'river', 'but', 'send', 'luv', 'as', 'rain', '.', 'I', 'can', 'not', 'come', 'to', 'meet', 'U', ',', 'but', 'can', 'send', 'my', 'care', 'as', 'msg', 'to', 'U.', 'Gud', 'evng']"
657,ham,You will be in the place of that man,,,,36,"['You', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']","['You', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']","['You', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']","['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']"
658,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",,,,94,"['It', 'doesnt', 'make', 'sense', 'to', 'take', 'it', 'there', 'unless', 'its', 'free', '.', 'If', 'you', 'need', 'to', 'know', 'more', ',', 'wikipedia.com']","['It', 'does', 'nt', 'make', 'sense', 'to', 'take', 'it', 'there', 'unless', 'its', 'free', '.', 'If', 'you', 'need', 'to', 'know', 'more', ',', 'wikipedia.com']","['It', 'doesnt', 'make', 'sense', 'to', 'take', 'it', 'there', 'unless', 'it', 'free', '.', 'If', 'you', 'need', 'to', 'know', 'more', ',', 'wikipedia.com']","['it', 'do', 'not', 'make', 'sense', 'to', 'take', 'it', 'there', 'unless', 'its', 'free', '.', 'if', 'you', 'need', 'to', 'know', 'more', ',', 'wikipedia.com']"
659,spam,88800 and 89034 are premium phone services call 08718711108,,,,59,"['88800', 'and', '89034', 'are', 'premium', 'phone', 'services', 'call', '08718711108']","['88800', 'and', '89034', 'are', 'premium', 'phone', 'services', 'call', '08718711108']","['88800', 'and', '89034', 'are', 'premium', 'phone', 'service', 'call', '08718711108']","['88800', 'and', '89034', 'be', 'premium', 'phone', 'service', 'call', '08718711108']"
660,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,,140,"['Under', 'the', 'sea', ',', 'there', 'lays', 'a', 'rock', '.', 'In', 'the', 'rock', ',', 'there', 'is', 'an', 'envelope', '.', 'In', 'the', 'envelope', ',', 'there', 'is', 'a', 'paper', '.', 'On', 'the', 'paper', ',', 'there', 'are', '3', 'words', '...', ""'""]","['Under', 'the', 'sea', ',', 'there', 'lays', 'a', 'rock', '.', 'In', 'the', 'rock', ',', 'there', 'is', 'an', 'envelope', '.', 'In', 'the', 'envelope', ',', 'there', 'is', 'a', 'paper', '.', 'On', 'the', 'paper', ',', 'there', 'are', '3', 'words', '...', ""'""]","['Under', 'the', 'sea', ',', 'there', 'lay', 'a', 'rock', '.', 'In', 'the', 'rock', ',', 'there', 'is', 'an', 'envelope', '.', 'In', 'the', 'envelope', ',', 'there', 'is', 'a', 'paper', '.', 'On', 'the', 'paper', ',', 'there', 'are', '3', 'word', '...', ""'""]","['under', 'the', 'sea', ',', 'there', 'lay', 'a', 'rock', '.', 'in', 'the', 'rock', ',', 'there', 'be', 'an', 'envelope', '.', 'in', 'the', 'envelope', ',', 'there', 'be', 'a', 'paper', '.', 'on', 'the', 'paper', ',', 'there', 'be', '3', 'word', '...', ""'""]"
661,ham,Then mum's repent how?,,,,22,"['Then', 'mum', ""'s"", 'repent', 'how', '?']","['Then', 'mum', ""'s"", 'repent', 'how', '?']","['Then', 'mum', ""'s"", 'repent', 'how', '?']","['then', 'mum', ""'s"", 'repent', 'how', '?']"
662,ham,Sorry me going home first... Daddy come fetch Ì_ later...,,,,57,"['Sorry', 'me', 'going', 'home', 'first', '...', 'Daddy', 'come', 'fetch', 'Ì_', 'later', '...']","['Sorry', 'me', 'going', 'home', 'first', '...', 'Daddy', 'come', 'fetch', 'Ì', '_', 'later', '...']","['Sorry', 'me', 'going', 'home', 'first', '...', 'Daddy', 'come', 'fetch', 'Ì_', 'later', '...']","['sorry', 'I', 'go', 'home', 'first', '...', 'daddy', 'come', 'fetch', 'Ì', '_', 'later', '...']"
663,ham,Leave it de:-). Start Prepare for next:-)..,,,,43,"['Leave', 'it', 'de', ':', '-', ')', '.', 'Start', 'Prepare', 'for', 'next', ':', '-', ')', '..']","['Leave', 'it', 'de:-', ')', '.', 'Start', 'Prepare', 'for', 'next:-', ')', '..']","['Leave', 'it', 'de', ':', '-', ')', '.', 'Start', 'Prepare', 'for', 'next', ':', '-', ')', '..']","['leave', 'it', 'de:-', ')', '.', 'Start', 'Prepare', 'for', 'next:-', ')', '..']"
664,ham,Yes baby! We can study all the positions of the kama sutra ;),,,,61,"['Yes', 'baby', '!', 'We', 'can', 'study', 'all', 'the', 'positions', 'of', 'the', 'kama', 'sutra', ';', ')']","['Yes', 'baby', '!', 'We', 'can', 'study', 'all', 'the', 'positions', 'of', 'the', 'kama', 'sutra', ';)']","['Yes', 'baby', '!', 'We', 'can', 'study', 'all', 'the', 'position', 'of', 'the', 'kama', 'sutra', ';', ')']","['yes', 'baby', '!', 'we', 'can', 'study', 'all', 'the', 'position', 'of', 'the', 'kama', 'sutra', ';)']"
665,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,,,,56,"['En', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', '..', 'then', 'had', 'tea/coffee', '?']","['En', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', '..', 'then', 'had', 'tea', '/', 'coffee', '?']","['En', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', '..', 'then', 'had', 'tea/coffee', '?']","['en', 'chikku', 'nange', 'bakra', 'msg', 'kalstiya', '..', 'then', 'have', 'tea', '/', 'coffee', '?']"
666,ham,Carlos'll be here in a minute if you still need to buy,,,,54,"['Carlos', ""'ll"", 'be', 'here', 'in', 'a', 'minute', 'if', 'you', 'still', 'need', 'to', 'buy']","[""Carlos'll"", 'be', 'here', 'in', 'a', 'minute', 'if', 'you', 'still', 'need', 'to', 'buy']","['Carlos', ""'ll"", 'be', 'here', 'in', 'a', 'minute', 'if', 'you', 'still', 'need', 'to', 'buy']","[""Carlos'll"", 'be', 'here', 'in', 'a', 'minute', 'if', 'you', 'still', 'need', 'to', 'buy']"
667,ham,This pay is  &lt;DECIMAL&gt;  lakhs:),,,,37,"['This', 'pay', 'is', '&', 'lt', ';', 'DECIMAL', '&', 'gt', ';', 'lakhs', ':', ')']","['This', 'pay', 'is', ' ', '&', 'lt;DECIMAL&gt', ';', ' ', 'lakhs', ':)']","['This', 'pay', 'is', '&', 'lt', ';', 'DECIMAL', '&', 'gt', ';', 'lakh', ':', ')']","['this', 'pay', 'be', ' ', '&', 'lt;decimal&gt', ';', ' ', 'lakh', ':)']"
668,ham,Have a good evening! Ttyl,,,,25,"['Have', 'a', 'good', 'evening', '!', 'Ttyl']","['Have', 'a', 'good', 'evening', '!', 'Ttyl']","['Have', 'a', 'good', 'evening', '!', 'Ttyl']","['have', 'a', 'good', 'evening', '!', 'ttyl']"
669,ham,Did u receive my msg?,,,,21,"['Did', 'u', 'receive', 'my', 'msg', '?']","['Did', 'u', 'receive', 'my', 'msg', '?']","['Did', 'u', 'receive', 'my', 'msg', '?']","['do', 'u', 'receive', 'my', 'msg', '?']"
670,ham,Ho ho - big belly laugh! See ya tomo,,,,36,"['Ho', 'ho', '-', 'big', 'belly', 'laugh', '!', 'See', 'ya', 'tomo']","['Ho', 'ho', '-', 'big', 'belly', 'laugh', '!', 'See', 'ya', 'tomo']","['Ho', 'ho', '-', 'big', 'belly', 'laugh', '!', 'See', 'ya', 'tomo']","['Ho', 'ho', '-', 'big', 'belly', 'laugh', '!', 'see', 'ya', 'tomo']"
671,spam,SMS. ac sun0819 posts HELLO:\You seem cool," wanted to say hi. HI!!!\"" Stop? Send STOP to 62468""",,,42,"['SMS', '.', 'ac', 'sun0819', 'posts', 'HELLO', ':', '\\You', 'seem', 'cool']","['SMS', '.', 'ac', 'sun0819', 'posts', 'HELLO:\\You', 'seem', 'cool']","['SMS', '.', 'ac', 'sun0819', 'post', 'HELLO', ':', '\\You', 'seem', 'cool']","['SMS', '.', 'ac', 'sun0819', 'post', 'HELLO:\\You', 'seem', 'cool']"
672,spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,,,,154,"['Get', 'ur', '1st', 'RINGTONE', 'FREE', 'NOW', '!', 'Reply', 'to', 'this', 'msg', 'with', 'TONE', '.', 'Gr8', 'TOP', '20', 'tones', 'to', 'your', 'phone', 'every', 'week', 'just', 'å£1.50', 'per', 'wk', '2', 'opt', 'out', 'send', 'STOP', '08452810071', '16']","['Get', 'ur', '1st', 'RINGTONE', 'FREE', 'NOW', '!', 'Reply', 'to', 'this', 'msg', 'with', 'TONE', '.', 'Gr8', 'TOP', '20', 'tones', 'to', 'your', 'phone', 'every', 'week', 'just', 'å£1.50', 'per', 'wk', '2', 'opt', 'out', 'send', 'STOP', '08452810071', '16']","['Get', 'ur', '1st', 'RINGTONE', 'FREE', 'NOW', '!', 'Reply', 'to', 'this', 'msg', 'with', 'TONE', '.', 'Gr8', 'TOP', '20', 'tone', 'to', 'your', 'phone', 'every', 'week', 'just', 'å£1.50', 'per', 'wk', '2', 'opt', 'out', 'send', 'STOP', '08452810071', '16']","['get', 'ur', '1st', 'RINGTONE', 'FREE', 'NOW', '!', 'reply', 'to', 'this', 'msg', 'with', 'TONE', '.', 'gr8', 'top', '20', 'tone', 'to', 'your', 'phone', 'every', 'week', 'just', 'å£1.50', 'per', 'wk', '2', 'opt', 'out', 'send', 'stop', '08452810071', '16']"
673,ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",,,,153,"['Ditto', '.', 'And', 'you', 'wo', ""n't"", 'have', 'to', 'worry', 'about', 'me', 'saying', 'ANYTHING', 'to', 'you', 'anymore', '.', 'Like', 'i', 'said', 'last', 'night', ',', 'you', 'do', 'whatever', 'you', 'want', 'and', 'i', ""'ll"", 'do', 'the', 'same', '.', 'Peace', '.']","['Ditto', '.', 'And', 'you', 'wo', ""n't"", 'have', 'to', 'worry', 'about', 'me', 'saying', 'ANYTHING', 'to', 'you', 'anymore', '.', 'Like', 'i', 'said', 'last', 'night', ',', 'you', 'do', 'whatever', 'you', 'want', 'and', 'i', ""'ll"", 'do', 'the', 'same', '.', 'Peace', '.']","['Ditto', '.', 'And', 'you', 'wo', ""n't"", 'have', 'to', 'worry', 'about', 'me', 'saying', 'ANYTHING', 'to', 'you', 'anymore', '.', 'Like', 'i', 'said', 'last', 'night', ',', 'you', 'do', 'whatever', 'you', 'want', 'and', 'i', ""'ll"", 'do', 'the', 'same', '.', 'Peace', '.']","['ditto', '.', 'and', 'you', 'will', 'not', 'have', 'to', 'worry', 'about', 'I', 'say', 'anything', 'to', 'you', 'anymore', '.', 'like', 'I', 'say', 'last', 'night', ',', 'you', 'do', 'whatever', 'you', 'want', 'and', 'I', 'will', 'do', 'the', 'same', '.', 'peace', '.']"
674,ham,"I've got  &lt;#&gt; , any way I could pick up?",,,,46,"['I', ""'ve"", 'got', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'any', 'way', 'I', 'could', 'pick', 'up', '?']","['I', ""'ve"", 'got', ' ', '&', 'lt;#&gt', ';', ',', 'any', 'way', 'I', 'could', 'pick', 'up', '?']","['I', ""'ve"", 'got', '&', 'lt', ';', '#', '&', 'gt', ';', ',', 'any', 'way', 'I', 'could', 'pick', 'up', '?']","['I', 'have', 'get', ' ', '&', 'lt;#&gt', ';', ',', 'any', 'way', 'I', 'could', 'pick', 'up', '?']"
675,ham,"I dont knw pa, i just drink milk..",,,,34,"['I', 'dont', 'knw', 'pa', ',', 'i', 'just', 'drink', 'milk', '..']","['I', 'do', 'nt', 'knw', 'pa', ',', 'i', 'just', 'drink', 'milk', '..']","['I', 'dont', 'knw', 'pa', ',', 'i', 'just', 'drink', 'milk', '..']","['I', 'do', 'not', 'knw', 'pa', ',', 'I', 'just', 'drink', 'milk', '..']"
676,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,,,,80,"['Maybe', '?', '!', 'Say', 'hi', 'to', 'and', 'find', 'out', 'if', 'got', 'his', 'card', '.', 'Great', 'escape', 'or', 'wetherspoons', '?']","['Maybe', '?', '!', 'Say', 'hi', 'to', ' ', 'and', 'find', 'out', 'if', ' ', 'got', 'his', 'card', '.', 'Great', 'escape', 'or', 'wetherspoons', '?']","['Maybe', '?', '!', 'Say', 'hi', 'to', 'and', 'find', 'out', 'if', 'got', 'his', 'card', '.', 'Great', 'escape', 'or', 'wetherspoons', '?']","['maybe', '?', '!', 'say', 'hi', 'to', ' ', 'and', 'find', 'out', 'if', ' ', 'get', 'his', 'card', '.', 'great', 'escape', 'or', 'wetherspoon', '?']"
677,ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",,,,69,"['Piggy', ',', 'r', 'u', 'awake', '?', 'I', 'bet', 'u', ""'re"", 'still', 'sleeping', '.', 'I', ""'m"", 'going', '4', 'lunch', 'now', '...']","['Piggy', ',', 'r', 'u', 'awake', '?', 'I', 'bet', ""u're"", 'still', 'sleeping', '.', 'I', ""'m"", 'going', '4', 'lunch', 'now', '...']","['Piggy', ',', 'r', 'u', 'awake', '?', 'I', 'bet', 'u', ""'re"", 'still', 'sleeping', '.', 'I', ""'m"", 'going', '4', 'lunch', 'now', '...']","['Piggy', ',', 'r', 'u', 'awake', '?', 'I', 'bet', ""u're"", 'still', 'sleep', '.', 'I', 'be', 'go', '4', 'lunch', 'now', '...']"
678,ham,Cause I'm not freaky lol,,,,24,"['Cause', 'I', ""'m"", 'not', 'freaky', 'lol']","['Cause', 'I', ""'m"", 'not', 'freaky', 'lol']","['Cause', 'I', ""'m"", 'not', 'freaky', 'lol']","['cause', 'I', 'be', 'not', 'freaky', 'lol']"
